ticker,fiscal_year_t,target_year,temporal_folds,target,predictor_year_t,cpi_observation_year,fx_observation_year_numerator,fx_observation_year_denominator,intl_cpi_inflation_lag1_wdi,intl_fx_change_official_lag1_wdi,fx_zero_change
سخوز,1396,1397,"fold1_validation,fold2_train",0,2017,2016,2016,2015,7.24542548953,6.354472391228,False
سخوز,1397,1398,fold2_validation,0,2018,2017,2017,2016,8.044924376603,7.210494559912,False
سخوز,1398,1399,fold2_validation,0,2019,2018,2018,2017,18.014118337187,20.691585576232,False
سدشت,1398,1399,fold2_validation,0,2019,2018,2018,2017,18.014118337187,20.691585576232,False
سدور,1392,1393,"fold1_train,fold2_train",0,2013,2012,2012,2011,27.256812724291,13.703843265919,False
سدور,1394,1395,"fold1_train,fold2_train",1,2015,2014,2014,2013,16.606553235745,34.271475600933,False
سدور,1395,1396,"fold1_validation,fold2_train",1,2016,2015,2015,2014,12.484681561153,11.184167544081,False
سدور,1396,1397,"fold1_validation,fold2_train",0,2017,2016,2016,2015,7.24542548953,6.354472391228,False
سدور,1397,1398,fold2_validation,0,2018,2017,2017,2016,8.044924376603,7.210494559912,False
سدور,1398,1399,fold2_validation,0,2019,2018,2018,2017,18.014118337187,20.691585576232,False
سرود,1392,1393,"fold1_train,fold2_train",0,2013,2012,2012,2011,27.256812724291,13.703843265919,False
سرود,1393,1394,"fold1_train,fold2_train",0,2014,2013,2013,2012,36.603035519103,41.370596008709,False
سرود,1394,1395,"fold1_train,fold2_train",0,2015,2014,2014,2013,16.606553235745,34.271475600933,False
سرود,1395,1396,"fold1_validation,fold2_train",0,2016,2015,2015,2014,12.484681561153,11.184167544081,False
سرود,1396,1397,"fold1_validation,fold2_train",0,2017,2016,2016,2015,7.24542548953,6.354472391228,False
سرود,1397,1398,fold2_validation,0,2018,2017,2017,2016,8.044924376603,7.210494559912,False
سرود,1398,1399,fold2_validation,0,2019,2018,2018,2017,18.014118337187,20.691585576232,False
سشرق,1392,1393,"fold1_train,fold2_train",0,2013,2012,2012,2011,27.256812724291,13.703843265919,False
سشرق,1393,1394,"fold1_train,fold2_train",1,2014,2013,2013,2012,36.603035519103,41.370596008709,False
سشرق,1394,1395,"fold1_train,fold2_train",1,2015,2014,2014,2013,16.606553235745,34.271475600933,False
سشرق,1395,1396,"fold1_validation,fold2_train",0,2016,2015,2015,2014,12.484681561153,11.184167544081,False
سشرق,1396,1397,"fold1_validation,fold2_train",0,2017,2016,2016,2015,7.24542548953,6.354472391228,False
سشرق,1397,1398,fold2_validation,0,2018,2017,2017,2016,8.044924376603,7.210494559912,False
سشرق,1398,1399,fold2_validation,0,2019,2018,2018,2017,18.014118337187,20.691585576232,False
سصفها,1397,1398,fold2_validation,0,2018,2017,2017,2016,8.044924376603,7.210494559912,False
سصفها,1398,1399,fold2_validation,0,2019,2018,2018,2017,18.014118337187,20.691585576232,False
سغرب,1393,1394,"fold1_train,fold2_train",0,2014,2013,2013,2012,36.603035519103,41.370596008709,False
سغرب,1394,1395,"fold1_train,fold2_train",0,2015,2014,2014,2013,16.606553235745,34.271475600933,False
سغرب,1395,1396,"fold1_validation,fold2_train",0,2016,2015,2015,2014,12.484681561153,11.184167544081,False
سغرب,1396,1397,"fold1_validation,fold2_train",0,2017,2016,2016,2015,7.24542548953,6.354472391228,False
سغرب,1397,1398,fold2_validation,0,2018,2017,2017,2016,8.044924376603,7.210494559912,False
سغرب,1398,1399,fold2_validation,0,2019,2018,2018,2017,18.014118337187,20.691585576232,False
سقاین,1392,1393,"fold1_train,fold2_train",0,2013,2012,2012,2011,27.256812724291,13.703843265919,False
