ticker,target_year,pair_cutoff_date,window_start_calendar_date,t0_trading_date,qTotCap,volume_qTotTran5J,trade_count_zTotTran,raw_close,adjusted_status,first_raw_observation_date_this_ticker,first_adjusted_price_date_this_ticker,days_from_window_start_to_first_raw_observation,days_from_window_start_to_first_adjusted_price,root_cause
سبجنو,1395,2016-07-19,2015-07-18,2015-07-19,0.0,0.0,0.0,3866.0,ADJUSTED_CLOSE_UNRESOLVED,2014-06-21,2014-06-21,-392,-392,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
سبهان,1395,2016-07-19,2015-07-18,2015-07-19,0.0,0.0,0.0,24832.0,ADJUSTED_CLOSE_UNRESOLVED,2013-06-19,2013-06-19,-759,-759,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
ستران,1395,2016-07-19,2015-07-18,2015-07-19,0.0,0.0,0.0,2099.0,ADJUSTED_CLOSE_UNRESOLVED,2014-06-21,2014-06-21,-392,-392,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
سخاش,1395,2016-07-19,2015-07-18,2015-07-19,0.0,0.0,0.0,6539.0,ADJUSTED_CLOSE_UNRESOLVED,2014-06-21,2014-06-21,-392,-392,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
سخزر,1395,2016-07-19,2015-07-18,2015-07-19,0.0,0.0,0.0,4301.0,ADJUSTED_CLOSE_UNRESOLVED,2013-06-19,2013-06-19,-759,-759,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
سخوز,1395,2016-07-19,2015-07-18,2015-07-19,0.0,0.0,0.0,3400.0,ADJUSTED_CLOSE_UNRESOLVED,2015-06-20,2015-06-20,-28,-28,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
سدشت,1395,2016-01-20,2015-01-19,2015-01-19,0.0,0.0,0.0,2458.0,ADJUSTED_CLOSE_UNRESOLVED,2012-12-22,2012-12-23,-758,-757,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
سدور,1395,2016-07-19,2015-07-18,2015-07-19,0.0,0.0,0.0,8855.0,ADJUSTED_CLOSE_UNRESOLVED,2013-06-19,2013-06-19,-759,-759,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
سرود,1395,2016-07-19,2015-07-18,2015-07-19,0.0,0.0,0.0,3003.0,ADJUSTED_CLOSE_UNRESOLVED,2013-06-19,2013-06-19,-759,-759,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
سصفها,1395,2016-07-19,2015-07-18,2015-07-19,0.0,0.0,0.0,15222.0,ADJUSTED_CLOSE_UNRESOLVED,2014-06-21,2014-06-21,-392,-392,E_ZERO_TRADE_OR_NONTRADING_OBSERVATION_USED_AS_ENDPOINT
