unique_request_id,InsCode,ISIN,ticker,endpoint_date,occurrence_count,qTotCap,qTotTran5J,zTotTran,raw_close
UNQ0139,30650426998863332,IRO1BOTA0001,لبوتان,2016-07-19,1,0.0,0.0,0.0,2858.0
UNQ0140,30719054967088301,IRO1COMB0001,تکمبا,2015-07-19,2,0.0,0.0,0.0,998.0
UNQ0141,30719054967088301,IRO1COMB0001,تکمبا,2016-07-19,1,0.0,0.0,0.0,802.0
UNQ0142,30719054967088301,IRO1COMB0001,تکمبا,2017-07-19,1,0.0,0.0,0.0,758.0
UNQ0143,30719054967088301,IRO1COMB0001,تکمبا,2019-07-17,1,0.0,0.0,0.0,1802.0
UNQ0144,30719054967088301,IRO1COMB0001,تکمبا,2019-07-20,1,0.0,0.0,0.0,1802.0
UNQ0145,30765727085936322,IRO1JAMD0001,فجام,2014-07-20,1,0.0,0.0,0.0,12368.0
UNQ0146,30765727085936322,IRO1JAMD0001,فجام,2015-07-19,2,0.0,0.0,0.0,11760.0
UNQ0147,30765727085936322,IRO1JAMD0001,فجام,2016-07-18,1,0.0,0.0,0.0,25661.0
UNQ0148,30765727085936322,IRO1JAMD0001,فجام,2016-07-19,1,0.0,0.0,0.0,25661.0
UNQ0149,30765727085936322,IRO1JAMD0001,فجام,2018-07-18,1,0.0,0.0,0.0,7497.0
UNQ0150,30765727085936322,IRO1JAMD0001,فجام,2020-07-18,1,0.0,0.0,0.0,69210.0
UNQ0151,30829203706095076,IRO1STEH0001,ستران,2015-07-19,2,0.0,0.0,0.0,2099.0
UNQ0152,30829203706095076,IRO1STEH0001,ستران,2017-07-18,1,0.0,0.0,0.0,2026.0
UNQ0153,30829203706095076,IRO1STEH0001,ستران,2017-07-19,1,0.0,0.0,0.0,2026.0
UNQ0154,30829203706095076,IRO1STEH0001,ستران,2018-07-18,1,0.0,0.0,0.0,1288.0
UNQ0155,31791737198597563,IRO1SPKH0001,غشان,2015-07-19,2,0.0,0.0,0.0,5164.0
UNQ0156,31879190587976736,IRO1MESI0001,خوساز,2013-07-16,1,0.0,0.0,0.0,822.0
UNQ0157,31879190587976736,IRO1MESI0001,خوساز,2015-07-19,2,0.0,0.0,0.0,2636.0
UNQ0158,31879190587976736,IRO1MESI0001,خوساز,2016-07-19,1,0.0,0.0,0.0,3341.0
UNQ0159,31879190587976736,IRO1MESI0001,خوساز,2017-07-18,1,0.0,0.0,0.0,1876.0
UNQ0160,31879190587976736,IRO1MESI0001,خوساز,2017-07-19,1,0.0,0.0,0.0,1876.0
UNQ0161,32357363984168442,IRO1PJMZ0001,جم,2015-08-08,1,0.0,0.0,0.0,1000.0
UNQ0162,32357363984168442,IRO1PJMZ0001,جم,2016-07-18,1,0.0,0.0,0.0,9436.0
UNQ0163,32357363984168442,IRO1PJMZ0001,جم,2016-07-19,1,0.0,0.0,0.0,9436.0
UNQ0164,32525655729432562,IRO1SBHN0001,سبهان,2013-07-16,1,0.0,0.0,0.0,45580.0
UNQ0165,32525655729432562,IRO1SBHN0001,سبهان,2015-07-19,2,0.0,0.0,0.0,24832.0
UNQ0166,32525655729432562,IRO1SBHN0001,سبهان,2017-07-18,1,0.0,0.0,0.0,14535.0
UNQ0167,32845891587040106,IRO1NSTH0001,ثنوسا,2013-01-19,1,0.0,0.0,0.0,3855.0
UNQ0168,33420285433308219,IRO1ZPRS0001,زپارس,2018-05-05,1,0.0,0.0,0.0,1000.0
UNQ0169,33420285433308219,IRO1ZPRS0001,زپارس,2019-04-17,1,0.0,0.0,0.0,10243.0
UNQ0170,33420285433308219,IRO1ZPRS0001,زپارس,2020-04-15,1,0.0,0.0,0.0,55730.0
UNQ0171,33603212156438463,IRO1DDPK0001,دشیمی,2014-07-20,1,0.0,0.0,0.0,6441.0
UNQ0172,33603212156438463,IRO1DDPK0001,دشیمی,2015-07-19,2,0.0,0.0,0.0,6305.0
UNQ0173,33603212156438463,IRO1DDPK0001,دشیمی,2016-07-18,1,0.0,0.0,0.0,4608.0
UNQ0174,33603212156438463,IRO1DDPK0001,دشیمی,2016-07-19,1,0.0,0.0,0.0,4608.0
UNQ0175,33603212156438463,IRO1DDPK0001,دشیمی,2017-07-18,1,0.0,0.0,0.0,3048.0
UNQ0176,33783140337377394,IRO1CHAR0001,خچرخش,2015-07-19,2,0.0,0.0,0.0,1798.0
UNQ0177,33808206014018431,IRO1SMAZ0001,سمازن,2014-07-16,1,0.0,0.0,0.0,20313.0
UNQ0178,33808206014018431,IRO1SMAZ0001,سمازن,2014-07-20,1,0.0,0.0,0.0,20313.0
UNQ0179,33808206014018431,IRO1SMAZ0001,سمازن,2015-07-19,2,0.0,0.0,0.0,14416.0
UNQ0180,33808206014018431,IRO1SMAZ0001,سمازن,2016-04-18,1,0.0,0.0,0.0,14108.0
UNQ0181,33808206014018431,IRO1SMAZ0001,سمازن,2016-07-18,1,0.0,0.0,0.0,12744.0
UNQ0182,33808206014018431,IRO1SMAZ0001,سمازن,2017-04-18,2,0.0,0.0,0.0,4737.0
UNQ0183,33808206014018431,IRO1SMAZ0001,سمازن,2018-04-17,1,0.0,0.0,0.0,2562.0
UNQ0184,33808206014018431,IRO1SMAZ0001,سمازن,2018-04-18,1,0.0,0.0,0.0,2562.0
UNQ0185,33808206014018431,IRO1SMAZ0001,سمازن,2019-04-15,1,0.0,0.0,0.0,2800.0
UNQ0186,33808206014018431,IRO1SMAZ0001,سمازن,2020-04-15,1,0.0,0.0,0.0,10860.0
UNQ0187,34890845654517313,IRO1SADB0001,ساربیل,2014-04-19,1,0.0,0.0,0.0,14578.0
UNQ0188,34890845654517313,IRO1SADB0001,ساربیل,2015-04-18,2,0.0,0.0,0.0,18244.0
UNQ0189,34890845654517313,IRO1SADB0001,ساربیل,2016-04-17,1,0.0,0.0,0.0,16915.0
UNQ0190,34890845654517313,IRO1SADB0001,ساربیل,2018-04-17,1,0.0,0.0,0.0,5937.0
UNQ0191,34890845654517313,IRO1SADB0001,ساربیل,2018-04-18,1,0.0,0.0,0.0,5937.0
UNQ0192,35366681030756042,IRO1PNBA0001,شبندر,2015-07-19,2,0.0,0.0,0.0,5817.0
UNQ0193,35366681030756042,IRO1PNBA0001,شبندر,2016-07-19,1,0.0,0.0,0.0,4760.0
UNQ0194,35366681030756042,IRO1PNBA0001,شبندر,2017-07-18,1,0.0,0.0,0.0,5153.0
UNQ0195,35366681030756042,IRO1PNBA0001,شبندر,2017-07-19,1,0.0,0.0,0.0,5153.0
UNQ0196,35366681030756042,IRO1PNBA0001,شبندر,2018-07-18,1,0.0,0.0,0.0,7219.0
UNQ0197,35366681030756042,IRO1PNBA0001,شبندر,2019-07-20,1,0.0,0.0,0.0,14941.0
UNQ0198,35425587644337450,IRO1MSMI0001,فملی,2015-07-19,2,0.0,0.0,0.0,1837.0
UNQ0199,35425587644337450,IRO1MSMI0001,فملی,2016-07-18,1,0.0,0.0,0.0,1397.0
UNQ0200,35425587644337450,IRO1MSMI0001,فملی,2016-07-19,1,0.0,0.0,0.0,1344.0
UNQ0201,35425587644337450,IRO1MSMI0001,فملی,2017-07-18,1,0.0,0.0,0.0,1884.0
UNQ0202,35425587644337450,IRO1MSMI0001,فملی,2017-07-19,1,0.0,0.0,0.0,1884.0
UNQ0203,35425587644337450,IRO1MSMI0001,فملی,2019-07-17,1,0.0,0.0,0.0,4269.0
UNQ0204,35700344742885862,IRO1GOLG0001,کگل,2015-07-19,2,0.0,0.0,0.0,3041.0
UNQ0205,35700344742885862,IRO1GOLG0001,کگل,2017-07-18,1,0.0,0.0,0.0,2000.0
UNQ0206,35700344742885862,IRO1GOLG0001,کگل,2017-07-19,1,0.0,0.0,0.0,2000.0
UNQ0207,38547060135156069,IRO1AZAB0001,فاذر,2015-07-19,2,0.0,0.0,0.0,2967.0
UNQ0208,38547060135156069,IRO1AZAB0001,فاذر,2016-07-19,1,0.0,0.0,0.0,5231.0
UNQ0209,38547060135156069,IRO1AZAB0001,فاذر,2017-07-18,1,0.0,0.0,0.0,3042.0
UNQ0210,38547060135156069,IRO1AZAB0001,فاذر,2017-07-19,1,0.0,0.0,0.0,3042.0
UNQ0211,38547060135156069,IRO1AZAB0001,فاذر,2018-07-17,1,0.0,0.0,0.0,3042.0
UNQ0212,38547060135156069,IRO1AZAB0001,فاذر,2018-07-18,1,0.0,0.0,0.0,3042.0
UNQ0213,38547060135156069,IRO1AZAB0001,فاذر,2019-07-20,1,0.0,0.0,0.0,4032.0
UNQ0214,38547060135156069,IRO1AZAB0001,فاذر,2020-07-18,1,0.0,0.0,0.0,36860.0
UNQ0215,39116664428676213,IRO1LEAB0001,شلعاب,2015-07-19,2,0.0,0.0,0.0,1926.0
UNQ0216,39116664428676213,IRO1LEAB0001,شلعاب,2019-07-17,1,0.0,0.0,0.0,4494.0
UNQ0217,39116664428676213,IRO1LEAB0001,شلعاب,2019-07-20,1,0.0,0.0,0.0,4494.0
