ticker,fiscal_year_t,target_year,temporal_folds,predictor_year_gregorian_offset621,predictor_year_gregorian_offset622,cpi_constructible_offset621,cpi_constructible_offset622,fx_constructible_offset621,fx_constructible_offset622,both_constructible_offset621,both_constructible_offset622,fx_zero_change_offset621,fx_zero_change_offset622,status_invariant_across_calendar_conventions,cpi_constructible,fx_constructible,both_constructible,fx_zero_change
سبجنو,1398,1399,fold2_validation,2019,2020,True,True,True,True,True,True,False,False,True,True,True,True,False
سبهان,1392,1393,"fold1_train,fold2_train",2013,2014,True,True,True,True,True,True,False,False,True,True,True,True,False
سبهان,1393,1394,"fold1_train,fold2_train",2014,2015,True,True,True,True,True,True,False,False,True,True,True,True,False
سبهان,1394,1395,"fold1_train,fold2_train",2015,2016,True,True,True,True,True,True,False,False,True,True,True,True,False
سبهان,1395,1396,"fold1_validation,fold2_train",2016,2017,True,True,True,True,True,True,False,False,True,True,True,True,False
سبهان,1396,1397,"fold1_validation,fold2_train",2017,2018,True,True,True,True,True,True,False,False,True,True,True,True,False
سبهان,1397,1398,fold2_validation,2018,2019,True,True,True,True,True,True,False,False,True,True,True,True,False
سبهان,1398,1399,fold2_validation,2019,2020,True,True,True,True,True,True,False,False,True,True,True,True,False
ستران,1393,1394,"fold1_train,fold2_train",2014,2015,True,True,True,True,True,True,False,False,True,True,True,True,False
ستران,1394,1395,"fold1_train,fold2_train",2015,2016,True,True,True,True,True,True,False,False,True,True,True,True,False
ستران,1395,1396,"fold1_validation,fold2_train",2016,2017,True,True,True,True,True,True,False,False,True,True,True,True,False
ستران,1396,1397,"fold1_validation,fold2_train",2017,2018,True,True,True,True,True,True,False,False,True,True,True,True,False
ستران,1397,1398,fold2_validation,2018,2019,True,True,True,True,True,True,False,False,True,True,True,True,False
ستران,1398,1399,fold2_validation,2019,2020,True,True,True,True,True,True,False,False,True,True,True,True,False
سخاش,1397,1398,fold2_validation,2018,2019,True,True,True,True,True,True,False,False,True,True,True,True,False
سخاش,1398,1399,fold2_validation,2019,2020,True,True,True,True,True,True,False,False,True,True,True,True,False
سخزر,1392,1393,"fold1_train,fold2_train",2013,2014,True,True,True,True,True,True,False,False,True,True,True,True,False
سخزر,1393,1394,"fold1_train,fold2_train",2014,2015,True,True,True,True,True,True,False,False,True,True,True,True,False
سخزر,1397,1398,fold2_validation,2018,2019,True,True,True,True,True,True,False,False,True,True,True,True,False
سخزر,1398,1399,fold2_validation,2019,2020,True,True,True,True,True,True,False,False,True,True,True,True,False
سخوز,1394,1395,"fold1_train,fold2_train",2015,2016,True,True,True,True,True,True,False,False,True,True,True,True,False
سخوز,1395,1396,"fold1_validation,fold2_train",2016,2017,True,True,True,True,True,True,False,False,True,True,True,True,False
سخوز,1396,1397,"fold1_validation,fold2_train",2017,2018,True,True,True,True,True,True,False,False,True,True,True,True,False
سخوز,1397,1398,fold2_validation,2018,2019,True,True,True,True,True,True,False,False,True,True,True,True,False
سخوز,1398,1399,fold2_validation,2019,2020,True,True,True,True,True,True,False,False,True,True,True,True,False
سدشت,1398,1399,fold2_validation,2019,2020,True,True,True,True,True,True,False,False,True,True,True,True,False
سدور,1392,1393,"fold1_train,fold2_train",2013,2014,True,True,True,True,True,True,False,False,True,True,True,True,False
سدور,1394,1395,"fold1_train,fold2_train",2015,2016,True,True,True,True,True,True,False,False,True,True,True,True,False
سدور,1395,1396,"fold1_validation,fold2_train",2016,2017,True,True,True,True,True,True,False,False,True,True,True,True,False
سدور,1396,1397,"fold1_validation,fold2_train",2017,2018,True,True,True,True,True,True,False,False,True,True,True,True,False
سدور,1397,1398,fold2_validation,2018,2019,True,True,True,True,True,True,False,False,True,True,True,True,False
سدور,1398,1399,fold2_validation,2019,2020,True,True,True,True,True,True,False,False,True,True,True,True,False
سرود,1392,1393,"fold1_train,fold2_train",2013,2014,True,True,True,True,True,True,False,False,True,True,True,True,False
سرود,1393,1394,"fold1_train,fold2_train",2014,2015,True,True,True,True,True,True,False,False,True,True,True,True,False
سرود,1394,1395,"fold1_train,fold2_train",2015,2016,True,True,True,True,True,True,False,False,True,True,True,True,False
سرود,1395,1396,"fold1_validation,fold2_train",2016,2017,True,True,True,True,True,True,False,False,True,True,True,True,False
سرود,1396,1397,"fold1_validation,fold2_train",2017,2018,True,True,True,True,True,True,False,False,True,True,True,True,False
سرود,1397,1398,fold2_validation,2018,2019,True,True,True,True,True,True,False,False,True,True,True,True,False
سرود,1398,1399,fold2_validation,2019,2020,True,True,True,True,True,True,False,False,True,True,True,True,False
