ticker,fiscal_year_t,target_year,temporal_folds,pair_cutoff_date,window_start_calendar_date,window_first_trading_date,window_last_trading_date,t_star,window_trading_day_count,usable_daily_return_count,usable_amihud_day_count,missing_price_day_count,zero_traded_value_day_count,d2_start_trading_date,d2_end_trading_date,d2_effective_span_days,d2_status,equity_return_d2,d2_no_start_boundary_price,d2_no_end_boundary_price,d2_start_adjusted_close_is_zero,fewer_than_126_valid_returns,realized_volatility,amihud_illiquidity,equity_return_window_d0_historical,in_three_variable_common_sample,m2_value_status
ثشرق,1397,1398,fold2_validation,2019-01-20,2018-01-19,2018-01-20,2019-01-19,2019-01-19,243,232,232,7,7,2018-01-20,2019-01-19,364,OBSERVED_COMPLETE,0.10557184750733128,False,False,False,False,0.024830811145021458,2.5381107825178225e-11,0.10557184750733128,True,OBSERVED_COMPLETE
ثشرق,1398,1399,fold2_validation,2020-01-20,2019-01-19,2019-01-19,2020-01-19,2020-01-19,240,227,227,9,9,2019-01-19,2020-01-19,365,OBSERVED_COMPLETE,2.614058355437666,False,False,False,False,0.030047459320091355,6.284117279867054e-12,2.614058355437666,True,OBSERVED_COMPLETE
ثنوسا,1392,1393,"fold1_train,fold2_train",2014-01-20,2013-01-18,2013-01-19,2014-01-18,2014-01-18,242,160,160,64,64,2013-01-28,2014-01-18,355,OBSERVED_COMPLETE,0.7775800711743772,False,False,False,False,0.026406706024013585,1.523406148402615e-11,,True,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0
ثنوسا,1393,1394,"fold1_train,fold2_train",2015-01-20,2014-01-19,2014-01-20,2015-01-19,2015-01-19,242,213,213,22,22,2014-01-20,2015-01-19,364,OBSERVED_COMPLETE,-0.07448979591836735,False,False,False,False,0.027761429606513708,2.012894644738774e-11,-0.07448979591836735,True,OBSERVED_COMPLETE
ثنوسا,1394,1395,"fold1_train,fold2_train",2016-01-20,2015-01-19,2015-01-19,2016-01-19,2016-01-19,246,223,223,18,18,2015-01-19,2016-01-19,365,OBSERVED_COMPLETE,-0.44762954796030874,False,False,False,False,0.029595485347030753,1.0856161935562136e-11,-0.44762954796030874,True,OBSERVED_COMPLETE
ثنوسا,1395,1396,"fold1_validation,fold2_train",2017-01-19,2016-01-18,2016-01-18,2017-01-18,2017-01-18,246,204,204,36,36,2016-01-18,2017-01-18,366,OBSERVED_COMPLETE,0.05154639175257736,False,False,False,False,0.027035940529900767,6.488864435546754e-12,0.05154639175257736,True,OBSERVED_COMPLETE
ثنوسا,1396,1397,"fold1_validation,fold2_train",2018-01-20,2017-01-17,2017-01-17,2018-01-17,2018-01-17,245,210,210,30,30,2017-01-17,2018-01-17,365,OBSERVED_COMPLETE,-0.29243353783231085,False,False,False,False,0.021117340525850518,1.0091412722379582e-11,-0.29243353783231085,True,OBSERVED_COMPLETE
ثنوسا,1397,1398,fold2_validation,2019-01-20,2018-01-19,2018-01-20,2019-01-19,2019-01-19,243,223,223,14,14,2018-01-20,2019-01-19,364,OBSERVED_COMPLETE,1.1386430678466075,False,False,False,False,0.032380673585094756,8.065334776961604e-12,1.1386430678466075,True,OBSERVED_COMPLETE
ثنوسا,1398,1399,fold2_validation,2020-01-20,2019-01-19,2019-01-19,2020-01-19,2020-01-19,240,196,196,38,38,2019-01-19,2020-01-19,365,OBSERVED_COMPLETE,4.575172413793103,False,False,False,False,0.03415443686797769,1.5432399621732804e-12,4.575172413793103,True,OBSERVED_COMPLETE
جم,1394,1395,"fold1_train,fold2_train",2016-07-19,2015-07-18,2015-08-08,2016-07-18,2016-07-18,233,226,226,5,5,2015-08-09,2016-07-16,342,OBSERVED_COMPLETE,0.2657743785850861,False,False,False,False,0.009619204027403612,1.483318871210887e-12,,True,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0; adjusted_close missing at window end T*
