ticker,fiscal_year_t,pair_cutoff_date,t0_trading_date,tN_trading_date,window_trading_day_count,usable_daily_return_count,d0_equity_return_window_usable,realized_volatility_usable,amihud_illiquidity_usable,in_three_variable_common_sample,m2_value_status
لسرما,1396,2018-07-20,2017-07-18,2018-07-18,242,208,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0; adjusted_close missing at window end T*
های وب,1396,2018-07-20,2017-08-27,2018-07-18,215,31,False,False,False,False,OBSERVED_INCOMPLETE: usable_daily_return_count=31 < 126; adjusted_close missing at window start t0; adjusted_close missing at window end T*; usable_amihud_day_count=31 < 126
همراه,1396,2018-07-20,2017-07-18,2018-07-18,242,232,True,True,True,True,OBSERVED_COMPLETE
پدرخش,1396,2018-07-20,2017-07-18,2018-07-18,242,216,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0
پرداخت,1396,2018-07-20,2017-07-18,2018-07-18,242,226,True,True,True,True,OBSERVED_COMPLETE
پسهند,1396,2018-07-20,2017-07-18,2018-07-18,242,226,True,True,True,True,OBSERVED_COMPLETE
پلاسک,1396,2018-07-20,2017-07-18,2018-07-18,242,234,True,True,True,True,OBSERVED_COMPLETE
چافست,1396,2018-01-20,2017-01-17,2018-01-17,245,224,True,True,True,True,OBSERVED_COMPLETE
چکارن,1396,2018-07-20,2017-07-18,2018-07-18,242,203,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
کاوه,1396,2018-07-20,2017-07-18,2018-07-18,242,172,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0
کبافق,1396,2018-07-20,2017-07-18,2018-07-18,242,228,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0
کرازی,1396,2018-07-20,2017-07-18,2018-07-18,242,220,True,True,True,True,OBSERVED_COMPLETE
کفرا,1396,2018-07-20,2017-07-18,2018-07-18,242,229,True,True,True,True,OBSERVED_COMPLETE
کفپارس,1396,2018-04-19,2017-04-18,2018-04-18,243,165,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0; adjusted_close missing at window end T*
کهمدا,1396,2017-10-22,2016-10-22,2017-10-21,242,230,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
کگاز,1396,2018-07-20,2017-07-18,2018-07-18,242,215,True,True,True,True,OBSERVED_COMPLETE
کگل,1396,2018-07-20,2017-07-18,2018-07-18,242,224,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0
بالبر,1397,2019-01-20,2018-01-20,2019-01-19,243,233,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
بترانس,1397,2019-07-20,2018-07-17,2019-07-17,246,236,True,True,True,True,OBSERVED_COMPLETE
بموتو,1397,2019-01-20,2018-01-20,2019-01-19,243,217,True,True,True,True,OBSERVED_COMPLETE
بکاب,1397,2019-01-20,2018-01-20,2019-01-19,243,225,True,True,True,True,OBSERVED_COMPLETE
بکام,1397,2019-07-20,2018-07-17,2019-07-17,246,228,True,True,True,True,OBSERVED_COMPLETE
تپمپی,1397,2018-10-22,2017-10-21,2018-10-21,246,214,True,True,True,True,OBSERVED_COMPLETE
تکمبا,1397,2019-07-20,2018-07-17,2019-07-17,246,235,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
ثشرق,1397,2019-01-20,2018-01-20,2019-01-19,243,232,True,True,True,True,OBSERVED_COMPLETE
ثنوسا,1397,2019-01-20,2018-01-20,2019-01-19,243,223,True,True,True,True,OBSERVED_COMPLETE
جم,1397,2019-07-20,2018-07-17,2019-07-17,246,219,True,True,True,True,OBSERVED_COMPLETE
حپترو,1397,2019-07-20,2018-07-17,2019-07-17,246,222,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
حکشتی,1397,2018-10-22,2017-10-21,2018-10-21,246,230,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0
خاذین,1397,2019-07-20,2018-07-17,2019-07-17,246,233,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
خبهمن,1397,2019-07-20,2018-07-17,2019-07-17,246,240,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0
ختوقا,1397,2019-07-20,2018-07-17,2019-07-17,246,226,True,True,True,True,OBSERVED_COMPLETE
خرینگ,1397,2019-07-20,2018-07-17,2019-07-17,246,236,False,True,True,False,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
خمحور,1397,2019-07-20,2018-07-17,2019-07-17,246,230,True,True,True,True,OBSERVED_COMPLETE
خمهر,1397,2019-07-20,2018-07-17,2019-07-17,246,231,True,True,True,True,OBSERVED_COMPLETE
خنصیر,1397,2019-07-20,2018-07-17,2019-07-17,246,216,True,True,True,True,OBSERVED_COMPLETE
