unique_request_id,request_type,InsCode,ISIN,ticker,endpoint_date,range_start_date,range_end_date,occurrence_count,evidence_reason,qTotCap,qTotTran5J,zTotTran,raw_close
UNQ0142,POINT_DATE,27000326841257664,IRO1SDST0001,سدشت,2013-01-19,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,3058.0
UNQ0143,POINT_DATE,27000326841257664,IRO1SDST0001,سدشت,2014-01-18,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,3384.0
UNQ0144,POINT_DATE,27000326841257664,IRO1SDST0001,سدشت,2014-01-20,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,2984.0
UNQ0145,POINT_DATE,27000326841257664,IRO1SDST0001,سدشت,2015-01-19,,,2,ENDPOINT_SEMANTICS,0.0,0.0,0.0,2458.0
UNQ0146,POINT_DATE,27000326841257664,IRO1SDST0001,سدشت,2016-01-18,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,2081.0
UNQ0147,POINT_DATE,27000326841257664,IRO1SDST0001,سدشت,2018-01-17,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,1776.0
UNQ0148,POINT_DATE,27000326841257664,IRO1SDST0001,سدشت,2018-01-20,,,1,BOTH,0.0,0.0,0.0,1776.0
UNQ0149,POINT_DATE,27218386411183410,IRO1SDOR0001,سدور,2014-07-20,,,1,BOTH,0.0,0.0,0.0,16474.0
UNQ0150,POINT_DATE,27218386411183410,IRO1SDOR0001,سدور,2015-07-19,,,2,BOTH,0.0,0.0,0.0,8855.0
UNQ0151,POINT_DATE,27308217070238237,IRO1CRBN0001,شکربن,2014-07-20,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,2908.0
UNQ0152,POINT_DATE,27308217070238237,IRO1CRBN0001,شکربن,2015-07-19,,,2,ENDPOINT_SEMANTICS,0.0,0.0,0.0,3117.0
UNQ0153,POINT_DATE,28672095850798501,IRO1SLMN0001,غسالم,2014-07-16,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,2983.0
UNQ0154,POINT_DATE,28672095850798501,IRO1SLMN0001,غسالم,2014-07-20,,,1,BOTH,0.0,0.0,0.0,2833.0
UNQ0155,POINT_DATE,28672095850798501,IRO1SLMN0001,غسالم,2015-07-19,,,2,BOTH,0.0,0.0,0.0,2039.0
UNQ0156,POINT_DATE,28672095850798501,IRO1SLMN0001,غسالم,2016-07-18,,,1,BOTH,0.0,0.0,0.0,1742.0
UNQ0157,POINT_DATE,28672095850798501,IRO1SLMN0001,غسالم,2017-07-18,,,1,BOTH,0.0,0.0,0.0,2359.0
UNQ0158,POINT_DATE,28672095850798501,IRO1SLMN0001,غسالم,2017-07-19,,,1,BOTH,0.0,0.0,0.0,2359.0
UNQ0159,POINT_DATE,28672095850798501,IRO1SLMN0001,غسالم,2018-07-17,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,3548.0
UNQ0160,POINT_DATE,28672095850798501,IRO1SLMN0001,غسالم,2019-07-17,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,20964.0
UNQ0161,POINT_DATE,28864540805361867,IRO1FKHZ0001,فخوز,2015-07-19,,,2,ENDPOINT_SEMANTICS,0.0,0.0,0.0,3420.0
UNQ0162,POINT_DATE,28864540805361867,IRO1FKHZ0001,فخوز,2016-07-19,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,2400.0
UNQ0163,POINT_DATE,30650426998863332,IRO1BOTA0001,لبوتان,2014-07-20,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,2344.0
UNQ0164,POINT_DATE,30650426998863332,IRO1BOTA0001,لبوتان,2015-07-19,,,2,ENDPOINT_SEMANTICS,0.0,0.0,0.0,2676.0
UNQ0165,POINT_DATE,30650426998863332,IRO1BOTA0001,لبوتان,2016-07-18,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,2868.0
UNQ0166,POINT_DATE,30650426998863332,IRO1BOTA0001,لبوتان,2016-07-19,,,1,ENDPOINT_SEMANTICS,0.0,0.0,0.0,2858.0
UNQ0167,POINT_DATE,30719054967088301,IRO1COMB0001,تکمبا,2015-07-19,,,2,ENDPOINT_SEMANTICS,0.0,0.0,0.0,998.0
