ticker,ticker_normalized,company_name,earliest_fiscal_year_in_dataset,latest_fiscal_year_in_dataset,n_panel_rows,current_prelisting_proxy_row_count,current_first_eligible_year_proxy,has_prelisting_proxy_rows,tsetmc_candidate_status,tsetmc_candidate_date_jalali,tsetmc_candidate_date_gregorian,tsetmc_instrument_candidate_count,multiple_ordinary_instruments,suspected_public_entry_after_1392,gap_after_1392,estimated_rows_at_risk,estimated_pairs_at_risk,priority_reason,priority_score,priority_rank
فسپا,فسپا,گروه صنعتی سپاهان,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,45
فمراد,فمراد,آلومراد,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,46
فملی,فملی,ملی صنایع مس ایران,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,47
فنورد,فنورد,نورد و تولید قطعات فولادی,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,48
فولاژ,فولاژ,فولاد آلیاژی ایران,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,49
فپنتا,فپنتا,صنعتی سپنتا,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,50
لابسا,لابسا,شرکت آبسال,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,51
لبوتان,لبوتان,شرکت گروه صنعتی بوتان,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,52
لخزر,لخزر,شرکت صنعتی پارس خزر,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,53
لسرما,لسرما,شرکت صنایع سرماآفرین ایران,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,54
وملی,وملی,سرمایه گذاری گروه صنعتی ملی,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,55
پارسان,پارسان,شرکت گسترش نفت و گاز پارسیان,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,56
پدرخش,پدرخش,شرکت تولیدی و صنعتی درخشان تهران,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,57
پسهند,پسهند,صنایع لاستیکی سهند,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,58
پلاسک,پلاسک,کارخانجات پلاسکوکار سایپا,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,59
چافست,چافست,شرکت افست,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,60
چکارن,چکارن,کارتن ایران,1393,1402,10,0,1393,0,not_probed_gate_a,,,,0,1,1,2,2,dataset_starts_after_1392|eligibility_rows_at_risk_if_entry_later,20.0,61
بموتو,بموتو,موتوژن,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,62
ثشرق,ثشرق,سرمایه گذاری مسکن شمال شرق,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,63
ثنوسا,ثنوسا,نوسازی و ساختمان تهران,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,64
حپترو,حپترو,حمل و نقل پتروشیمی,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,65
حکشتی,حکشتی,کشتیرانی جمهوری اسلامی ایران,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,66
خاذین,خاذین,سایپا آذین,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,67
خبهمن,خبهمن,گروه بهمن,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,68
